Application_Name,Total_Volume_Mn,Total_Value_Cr
IDFC Bank Apps,22.28,3044.21
India Post Payments Bank Apps,4.05,609.49
Indian Bank Apps,0.24,68.57
Indian Overseas Bank Apps,0.01,2.31
IndusInd Bank Apps,0.78,848.43
Jio Payments Bank Apps,1.5,104.03
Jupiter,2.39,314.07
Karnataka Bank Apps,0.39,88.38
Karur Vysya Bank Apps,0.04,14.78
Kotak Mahindra Bank Apps,12.09,2521.65
MakeMyTrip,0.05,22.7
Mobikwik,3.39,804.92
NSDL Payments Bank Apps,0.02,3
Paytm Payments Bank App,1137.53,136528.25
PhonePe,3519.12,620121.97
Punjab National Bank Apps,0.33,90.01
Punjab Sind Bank Apps,0.04,12.34
RBL Bank Apps,1.74,489.45
Samsung Pay,5.24,488.33
Slash,0.01,0.49
slice,0.47,117.78
South Indian Bank Apps,0.2,54.81
Standard Chartered Bank Apps,0.14,82.79
State Bank of India Apps,3.72,1753.93
Tamilnad Mercantile Bank Apps,0.06,10.21
TataNeu,0.13,14.54
UCO Bank Apps,0.31,97.44
Ultracash,0.03,1.67
Union Bank Apps,0.71,280.27
Utkarsh Small Finance Bank Apps,0.02,9.01
WhatsApp,11.63,970.67
Yes Bank Apps,26.55,7518.24
Others,0.03,9.01
Airtel Payments Bank Apps,13.22,4729.77
Allahabad Bank App,0.02,7.36
Amazon Pay,73.5,6729.66
AU Small Finance Bank App,0.23,81.15
Axis Bank Apps,47.25,1093.02
Bajaj Finserv,0.24,12.88
Bank of Baroda Apps,0.71,342.85
Bank of India App,0.05,20.23
Bank of Maharashtra App,0.05,12.46
BHIM,25.82,8511.91
Canara Bank App,0.26,98.95
Central Bank of India App,0.13,47.33
Citi Bank App,0.09,77.8
City Union Bank App,0.02,4.92
Cointab,1.21,179.22
Cred,10.68,14189.86
DBS Digibank App,0.51,186.79
Dena Bank App,0.02,26.5
Deutsche Bank App,0.92,62.08
Dhanlaxmi Bank App,0.01,2.95
Federal Bank App,0.54,109.25
Fino Payments bank App,0.03,2.79
Finshell Pay,0.07,3.69
Google Pay,1584.2,298267.07
HDFC Bank Apps,4.94,1366.89
HSBC Bank App,0.08,54.57
ICICI Bank Apps,33.43,8707.05
IDBI Bank App,0.02,12.54
IDFC Bank App,1.22,316.37
India Post Payments Bank App,2.65,309.42
Indian Bank App,0.13,47.42
IndusInd Bank App,0.74,1218.79
Jammu and Kashmir Bank App,0.01,2.47
Janta Sahakari Bank App,0.01,4.46
Jio Payments Bank App,2.05,114.39
Jupiter Money,1.02,156.15
Karnataka Bank App,0.25,31.19
Karur Vysya Bank App,0.04,17.37
Kotak Mahindra Bank Apps,6.88,1333.06
MakeMy Trip,0.06,19.63
MI Pay,0.27,40.51
Mobikwik,3.87,886.55
NSDL Payments Bank App,0.02,1.45
Paytm Payments Bank App,710.28,85125.97
PhonePe,2140.28,405173.78
Punjab National Bank App,0.09,44.86
Punjab Sindh Bank App,0.01,2.87
RBL Bank App,0.43,101.45
Samsung Pay,3.17,431.07
South Indian Bank App,0.13,41.4
Standard Chartered Bank App,0.11,60.49
State Bank of India Apps,3.62,1967.05
UCO Bank App,0.16,37.26
Ultracash,2.14,177.63
Union Bank Apps,0.39,182.27
WhatsApp,2.34,205.83
Yes Bank Apps,27.59,5817.16
YuvaPay,0.05,77.12
Others,0.02,9.08
Airtel Payments Bank Apps,9.77,834.63
Allahabad Bank Apps,0.03,9.17
Amazon Pay,57.75,5797.03
AU Small Finance Bank Apps,0.58,181.45
Axis Bank Apps,56.28,1467.64
Bajaj Finserv,5.01,812.4
Bajaj Markets,0.01,0.5
Bandhan Bank Apps,0.01,1.47
Bank of Baroda Apps,1.1,423.46
Bank of India Apps,0.24,70.34
Bank of Maharashtra Apps,0.08,20.39
BHIM,24.96,8164.65
Canara Bank Apps,1.08,289.29
Central Bank of India Apps,0.31,68.68
Citi Bank Apps,0.12,71.81
City Union Bank Apps,0.05,15.51
Cointab,0.05,21.16
Cred,35.18,19106.82
DBS Digibank Apps,0.41,174.02
Deutsche Bank Apps,1.31,150.29
Dhanlaxmi Bank Apps,0.01,2.76
Equitas Small Finance Bank Apps,0.02,13.02
Eroute,0.08,2.29
Fampay PPI,12.8,175.64
Fave,0.11,7.87
Federal Bank Apps,4.72,604.61
Fino Payments bank Apps,0.11,7.51
GoIbibo,0.01,1.6
Google Pay,2782.42,443725.01
Groww,0.19,152.17
HDFC Bank Apps,12.3,3324.81
HSBC Bank Apps,0.13,75.58
ICICI Bank Apps,45.14,17088.16
IDBI Bank Apps,0.07,30.81
IDFC Bank Apps,11.47,2222.2
India Post Payments Bank Apps,5.43,707.37
Indian Bank Apps,0.26,73.38
Indian Overseas Bank Apps,0.01,2.31
IndusInd Bank Apps,0.84,962.09
Janata Sahakari Bank Apps,0.01,3.98
Jio Payments Bank Apps,1.59,108.84
Jupiter,2.49,323.88
Karnataka Bank Apps,0.4,85.81
Karur Vysya Bank Apps,0.04,15.27
Kotak Mahindra Bank Apps,12.14,2612.6
MakeMyTrip,0.08,35.59
Mobikwik,3.49,785.48
NSDL Payments Bank Apps,0.02,3
Paytm Payments Bank App,1190.89,139673
PhonePe,3802.67,651108.51
Punjab National Bank Apps,0.25,82.15
Punjab Sind Bank Apps,0.04,13.08
RBL Bank Apps,1.32,242.88
Samsung Pay,5.52,523.73
Slash,0.01,0.68
slice,0.22,45.82
South Indian Bank Apps,0.19,56.75
Standard Chartered Bank Apps,0.15,85.16
State Bank of India Apps,4.06,1901.92
Tamilnad Mercantile Bank Apps,0.07,11.67
TataNeu,0.11,14.79
Transerv,0.01,0.71
UCO Bank Apps,0.32,101.06
Ultracash,0.04,2.25
Union Bank Apps,0.8,303.93
Utkarsh Small Finance Bank Apps,0.02,8.35
WhatsApp,11.47,963.12
Yes Bank Apps,33.96,12116.61
Others,0.02,5.57
Airtel Payments Bank Apps,7.41,555.26
Allahabad Bank Apps,0.03,6.95
Amazon Pay,68.77,6751.8
AU Small Finance Bank Apps,0.42,131.49
Axis Bank Apps,53.99,1213.95
Bajaj Finserv,1.95,128.52
Bajaj Markets,0.02,1.66
