,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
359,43,MakeMyTrip,0.13,58.19
360,44,MI Pay,0.16,26.98
361,45,Mobikwik,2.48,462.17
362,46,NSDL Payments Bank Apps,0.02,3.5
363,47,Paytm Payments Bank App,933.88,111149.66
364,48,PhonePe,2993.83,524742.49
365,49,Punjab National Bank Apps,0.07,35.7
366,50,Punjab Sind Bank Apps,0.01,4.03
367,51,RBL Bank Apps,0.54,121.17
368,52,Samsung Pay,4.05,472.39
369,53,South Indian Bank Apps,0.15,46.97
370,54,Standard Chartered Bank Apps,0.14,74.11
371,55,State Bank of India Apps,4.15,2013.47
372,56,Tamilnad Mercantile Bank Apps,0.05,6.78
373,57,TataNeu,0.11,17.26
374,58,TJSB Bank Apps,0.01,2.26
375,59,UCO Bank Apps,0.22,46.83
376,60,Ultracash,0.03,2.08
377,61,Union Bank Apps,0.49,208.03
378,62,Utkarsh Small Finance Bank Apps,0.02,4.55
379,63,WhatsApp,6.18,502.0
380,64,Yes Bank Apps,60.8,15236.04
381,65,YuvaPay,0.01,21.38
382,66,Others,0.02,5.15
383,0,Airtel Payments Bank Apps,6.38,506.2
384,1,Allahabad Bank Apps,0.02,6.79
385,2,Amazon Pay,68.4,6541.84
386,3,AU Small Finance Bank Apps,0.38,120.24
387,4,Axis Bank Apps,52.6,1268.38
388,5,Bajaj Finserv,1.16,85.49
389,6,Bajaj Markets,0.01,1.2
390,7,Bank of Baroda Apps,0.83,347.72
391,8,Bank of India Apps,0.13,41.82
392,9,Bank of Maharashtra Apps,0.06,15.77
393,10,BHIM,22.6,7527.98
394,11,Canara Bank Apps,0.34,109.78
395,12,Central Bank of India Apps,0.15,54.06
396,13,Citi Bank Apps,0.13,63.54
397,14,City Union Bank Apps,0.03,8.72
398,15,Cointab,0.06,23.99
399,16,Cred,13.4,17583.25
400,17,DBS Digibank Apps,0.46,171.69
401,18,Deutsche Bank Apps,1.51,99.12
402,19,Dhanlaxmi Bank Apps,0.01,2.7
403,20,Equitas Small Finance Bank Apps,0.01,3.87
404,21,Fave,0.12,6.94
405,22,Federal Bank Apps,3.55,494.21
406,23,Fino Payments bank Apps,0.05,3.17
407,24,Finshell Pay,0.1,5.3
408,25,GoIbibo,0.01,3.87
409,26,Google Pay,2025.89,355137.2
410,27,Groww,0.72,416.73
411,28,HDFC Bank Apps,8.24,2066.22
412,29,HSBC Bank Apps,0.11,61.39
413,30,ICICI Bank Apps,39.37,10202.14
414,31,IDBI Bank Apps,0.03,15.71
415,32,IDFC Bank Apps,7.03,663.65
416,33,India Post Payments Bank Apps,3.98,467.34
417,34,Indian Bank Apps,0.17,53.68
418,35,Indian Overseas Bank Apps,0.01,2.98
419,36,IndusInd Bank Apps,1.0,1645.13
420,37,Janata Sahakari Bank Apps,0.01,4.47
421,38,Jio Payments Bank Apps,1.87,116.34
422,39,Jupiter,1.89,223.22
