,Application_Name,Total_Volume_Mn,Total_Value_Cr
21,Fino Payments bank App,0.03,3.25
22,Finshell Pay,0.06,3.8
23,Google Pay,1524.09,291273.46
24,HDFC Bank Apps,4.59,1370.03
25,HSBC Bank App,0.08,52.97
26,ICICI Bank Apps,30.66,8727.44
27,IDBI Bank App,0.02,14.6
28,IDFC Bank App,1.21,321.93
29,India Post Payments Bank App,2.21,268.9
30,Indian Bank App,0.11,42.07
31,IndusInd Bank App,0.77,1358.24
32,Jammu and Kashmir Bank App,0.01,3.43
33,Janta Sahakari Bank App,0.01,4.33
34,Jio Payments Bank App,1.97,111.85
35,Jupiter Money,1.13,140.79
36,Karnataka Bank App,0.25,31.35
37,Karur Vysya Bank App,0.04,17.17
38,Kotak Mahindra Bank Apps,6.91,1383.3
39,MakeMy Trip,0.08,33.03
40,MI Pay,0.25,38.46
41,Mobikwik,3.78,755.89
42,NSDL Payments Bank App,0.02,1.77
43,Paytm Payments Bank App,706.77,86299.22
44,PhonePe,2120.2,407640.11
45,Punjab National Bank App,0.08,43.49
46,Punjab Sindh Bank Apps,0.01,2.66
47,RBL Bank App,0.51,107.25
48,Samsung Pay,3.14,421.97
49,South Indian Bank App,0.12,38.69
50,Standard Chartered Bank App,0.12,64.7
51,State Bank of India Apps,3.38,1863.42
52,UCO Bank App,0.16,35.05
53,Ultracash,1.51,158.7
54,Union Bank Apps,0.35,166.72
55,Utkarsh Small Finance Bank,0.01,2.42
56,WhatsApp,2.24,207.09
57,Yes Bank Apps,32.17,6551.61
58,YuvaPay,0.05,89.7
59,Others,0.02,8.15
0,Airtel Payments Bank Apps,8.71,730.45
1,Allahabad Bank Apps,0.03,8.47
2,Amazon Pay,47.8,4981.82
3,AU Small Finance Bank Apps,0.55,165.07
4,Axis Bank Apps,51.95,1413.95
5,Bajaj Finserv,5.44,882.75
6,Bandhan Bank Apps,0.01,1.71
7,Bank of Baroda Apps,1.14,409.33
8,Bank of India Apps,0.24,68.69
9,Bank of Maharashtra Apps,0.07,19.02
10,BHIM,23.21,7158.37
11,Bajaj Finserv,0.01,3.43
12,Canara Bank Apps,1.09,284.23
13,Central Bank of India Apps,0.32,72.15
14,Citi Bank Apps,0.08,59.37
15,City Union Bank Apps,0.06,15.94
16,Cointab,0.04,16.4
17,Cred,36.57,17902.2
18,DBS Digibank Apps,0.39,161.51
19,Deutsche Bank Apps,1.32,118.35
20,Transerv,0.02,3.13
21,Dhanlaxmi Bank Apps,0.01,2.67
22,Equitas Small Finance Bank Apps,0.02,11.41
23,EROUTE,0.17,6.08
24,FamPay PPI,1.6,21.73
25,Fave,0.11,7.08
26,Federal Bank Apps,4.76,590.97
27,Fino Payments bank Apps,0.1,6.5
28,Google Pay,2639.55,424442.48
29,Groww,0.21,158.9
30,HDFC Bank Apps,11.87,3116.17
31,HSBC Bank Apps,0.12,73.04
32,ICICI Bank Apps,40.52,14831.4
33,IDBI Bank Apps,0.07,29.25
34,IDFC Bank Apps,22.28,3044.21
35,India Post Payments Bank Apps,4.05,609.49
36,Indian Bank Apps,0.24,68.57
37,Indian Overseas Bank Apps,0.01,2.31
38,IndusInd Bank Apps,0.78,848.43
39,Jio Payments Bank Apps,1.5,104.03
40,Jupiter,2.39,314.07
41,Karnataka Bank Apps,0.39,88.38
42,Karur Vysya Bank Apps,0.04,14.78
43,Kotak Mahindra Bank Apps,12.09,2521.65
44,MakeMyTrip,0.05,22.7
45,Mobikwik,3.39,804.92
46,NSDL Payments Bank Apps,0.02,3
47,Paytm Payments Bank App,1137.53,136528.25
48,PhonePe,3519.12,620121.97
49,Punjab National Bank Apps,0.33,90.01
50,Punjab Sind Bank Apps,0.04,12.34
51,RBL Bank Apps,1.74,489.45
52,Samsung Pay,5.24,488.33
53,Slash,0.01,0.49
54,slice,0.47,117.78
55,South Indian Bank Apps,0.2,54.81
56,Standard Chartered Bank Apps,0.14,82.79
57,State Bank of India Apps,3.72,1753.93
58,Tamilnad Mercantile Bank Apps,0.06,10.21
59,TataNeu,0.13,14.54
60,UCO Bank Apps,0.31,97.44
61,Ultracash,0.03,1.67
62,Union Bank Apps,0.71,280.27
63,Utkarsh Small Finance Bank Apps,0.02,9.01
64,WhatsApp,11.63,970.67
65,Yes Bank Apps,26.55,7518.24
66,Others,0.03,9.01
0,Airtel Payments Bank Apps,13.22,4729.77
1,Allahabad Bank App,0.02,7.36
2,Amazon Pay,73.5,6729.66
3,AU Small Finance Bank App,0.23,81.15
4,Axis Bank Apps,47.25,1093.02
5,Bajaj Finserv,0.24,12.88
6,Bank of Baroda Apps,0.71,342.85
7,Bank of India App,0.05,20.23
8,Bank of Maharashtra App,0.05,12.46
9,BHIM,25.82,8511.91
10,Canara Bank App,0.26,98.95
11,Central Bank of India App,0.13,47.33
12,Citi Bank App,0.09,77.8
13,City Union Bank App,0.02,4.92
14,Cointab,1.21,179.22
15,Cred,10.68,14189.86
16,DBS Digibank App,0.51,186.79
17,Dena Bank App,0.02,26.5
18,Deutsche Bank App,0.92,62.08
19,Dhanlaxmi Bank App,0.01,2.95
20,Federal Bank App,0.54,109.25
21,Fino Payments bank App,0.03,2.79
22,Finshell Pay,0.07,3.69
23,Google Pay,1584.2,298267.07
24,HDFC Bank Apps,4.94,1366.89
25,HSBC Bank App,0.08,54.57
26,ICICI Bank Apps,33.43,8707.05
27,IDBI Bank App,0.02,12.54
28,IDFC Bank App,1.22,316.37
29,India Post Payments Bank App,2.65,309.42
30,Indian Bank App,0.13,47.42
31,IndusInd Bank App,0.74,1218.79
32,Jammu and Kashmir Bank App,0.01,2.47
33,Janta Sahakari Bank App,0.01,4.46
34,Jio Payments Bank App,2.05,114.39
35,Jupiter Money,1.02,156.15
36,Karnataka Bank App,0.25,31.19
37,Karur Vysya Bank App,0.04,17.37
38,Kotak Mahindra Bank Apps,6.88,1333.06
39,MakeMy Trip,0.06,19.63
40,MI Pay,0.27,40.51
41,Mobikwik,3.87,886.55
42,NSDL Payments Bank App,0.02,1.45
43,Paytm Payments Bank App,710.28,85125.97
44,PhonePe,2140.28,405173.78
45,Punjab National Bank App,0.09,44.86
46,Punjab Sindh Bank App,0.01,2.87
47,RBL Bank App,0.43,101.45
48,Samsung Pay,3.17,431.07
49,South Indian Bank App,0.13,41.4
50,Standard Chartered Bank App,0.11,60.49
51,State Bank of India Apps,3.62,1967.05
52,UCO Bank App,0.16,37.26
53,Ultracash,2.14,177.63
54,Union Bank Apps,0.39,182.27
55,WhatsApp,2.34,205.83
56,Yes Bank Apps,27.59,5817.16
57,YuvaPay,0.05,77.12
58,Others,0.02,9.08
0,Airtel Payments Bank Apps,9.77,834.63
